id,name,serves,ingredients,instructions,meal_type,is_vegetarian,protein,carbs,fat,fiber,energy,iron_mg,magnesium_mg,calcium_mg,potassium_mg,sodium_mg,vitamin_c_mg
92,Spicy quinoa porridge ,2,"[{""id"": 1, ""name"": ""almonds"", ""quantity"": 6.0, ""serving_unit"": ""g""}, {""id"": 32, ""name"": ""carrot"", ""quantity"": 0.5, ""serving_unit"": ""nos""}, {""id"": 52, ""name"": ""corn"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 128, ""name"": ""peas"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 140, ""name"": ""quinoa"", ""quantity"": 80.0, ""serving_unit"": ""g""}, {""id"": 165, ""name"": ""spinach"", ""quantity"": 80.0, ""serving_unit"": ""g""}]","Saute quinoa, veggies, and make it in a porridge consistency. Add sumac, green chillies for flavour. ",dinner,t,19.51,75.11,9.12,12.51,443.54,7.16,275.50,156.44,1295.28,98.26,47.68
93,Kovakkai Gravy,2,"[{""id"": 13, ""name"": ""Bay leaves"", ""quantity"": 0.1, ""serving_unit"": ""nos""}, {""id"": 50, ""name"": ""coconut"", ""quantity"": 10.0, ""serving_unit"": ""g""}, {""id"": 78, ""name"": ""ginger garlic paste"", ""quantity"": 5.0, ""serving_unit"": ""g""}, {""id"": 208, ""name"": ""Ivy gourd (kovakkai)"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 121, ""name"": ""onion"", ""quantity"": 150.0, ""serving_unit"": ""g""}]","Add oil in a pan. Add bay leaves and cumin seeds to saute. Now add onions. Once cooked, add ginger garlic paste. 
Then add kovakkai. Add some water. Add green chillies, red chilli powder, coriander powder. Once cooked add grinded coconut paste. ",sides,t,3.49,21.32,3.73,5.26,121.21,1.32,41.92,81.02,515.11,12.76,33.34
94,Rice dosa / idly,2,"[{""id"": 148, ""name"": ""rice"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 185, ""name"": ""urad dhal"", ""quantity"": 25.0, ""serving_unit"": ""g""}]","Soak idly rice and urad dhal overnight. 
Grind next morning. 
Allow it to ferment whole day. ",breakfast,t,9.00,43.10,0.70,4.98,215.25,3.10,78.75,44.50,280.75,10.50,0.00
95,Avarakkai (flat beans) poriyal ,2,"[{""id"": 4, ""name"": ""asafoetida"", ""quantity"": 0.1, ""serving_unit"": ""g""}, {""id"": 18, ""name"": ""black pepper"", ""quantity"": 2.0, ""serving_unit"": ""g""}, {""id"": 58, ""name"": ""cumin seeds"", ""quantity"": 5.0, ""serving_unit"": ""g""}, {""id"": 60, ""name"": ""curry leaves"", ""quantity"": 0.5, ""serving_unit"": ""g""}, {""id"": 211, ""name"": ""Flat beans"", ""quantity"": 250.0, ""serving_unit"": ""g""}, {""id"": 121, ""name"": ""onion"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 158, ""name"": ""salt"", ""quantity"": 0.1, ""serving_unit"": ""tsp""}, {""id"": 170, ""name"": ""sunflower oil"", ""quantity"": 10.0, ""serving_unit"": ""g""}]","Heat oil, add mustard seeds, urad dal, dry red chilli, curry leaves. Add chopped onion and fry till soft.Add avarakkai, turmeric, salt, 2–3 tbsp water; cover and cook till tender.
Garnish with grated Coconut (optional)
",sides,t,6.73,30.51,11.79,9.52,230.51,6.27,94.30,175.75,790.52,257.82,38.23
96,Nuts laddu,30,"[{""id"": 1, ""name"": ""almonds"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 216, ""name"": ""brazil nuts"", ""quantity"": 40.0, ""serving_unit"": ""g""}, {""id"": 214, ""name"": ""cashew nuts"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 218, ""name"": ""dates"", ""quantity"": 30.0, ""serving_unit"": ""g""}, {""id"": 212, ""name"": ""green pumpkin seeds"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 217, ""name"": ""hazelnuts"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 213, ""name"": ""pine nuts"", ""quantity"": 40.0, ""serving_unit"": ""g""}, {""id"": 134, ""name"": ""pistachios"", ""quantity"": 30.0, ""serving_unit"": ""g""}, {""id"": 143, ""name"": ""raisins"", ""quantity"": 60.0, ""serving_unit"": ""g""}, {""id"": 215, ""name"": ""sesame seeds"", ""quantity"": 40.0, ""serving_unit"": ""g""}, {""id"": 187, ""name"": ""walnuts"", ""quantity"": 120.0, ""serving_unit"": ""g""}, {""id"": 150, ""name"": ""white pumpkin seeds"", ""quantity"": 60.0, ""serving_unit"": ""g""}]","Dry roast all ingredients except raisins and dates in a pan or oven at 60C for 1 hour.
once cooled, coarse blend them all along with raisins and dates. Make round laddu like portions each 25-30g",snack,t,116.03,170.68,322.40,50.25,3761.70,34.16,1801.20,1053.80,4477.40,30.70,10.71
97,Lentil masala,2,"[{""id"": 103, ""name"": ""lentils"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 121, ""name"": ""onion"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 178, ""name"": ""tomato"", ""quantity"": 70.0, ""serving_unit"": ""g""}]","Saute onion, tomato with spices. Add lentils and pressure cook for 5 whistles",sides,t,10.74,32.19,0.62,10.44,168.60,3.73,53.70,49.00,680.90,9.50,18.49
98,Mushroom gravy ,2,"[{""id"": 78, ""name"": ""ginger garlic paste"", ""quantity"": 10.0, ""serving_unit"": ""g""}, {""id"": 113, ""name"": ""mushrooms"", ""quantity"": 200.0, ""serving_unit"": ""g""}, {""id"": 121, ""name"": ""onion"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 164, ""name"": ""spices"", ""quantity"": 20.0, ""serving_unit"": ""g""}, {""id"": 178, ""name"": ""tomato"", ""quantity"": 60.0, ""serving_unit"": ""g""}]","Saute onion, tomato. Add ginger garlic paste. Once cooked well, add mushroom. ",sides,t,10.64,32.41,3.48,9.83,171.30,6.49,72.00,144.90,1265.00,78.50,21.63
99,Green peas gravy,2,"[{""id"": 221, ""name"": ""Dry green peas"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 47, ""name"": ""chilli powder"", ""quantity"": 15.0, ""serving_unit"": ""tbsp""}, {""id"": 54, ""name"": ""coriander powder"", ""quantity"": 15.0, ""serving_unit"": ""tbsp""}, {""id"": 78, ""name"": ""ginger garlic paste"", ""quantity"": 30.0, ""serving_unit"": ""g""}, {""id"": 84, ""name"": ""green chillies"", ""quantity"": 3.0, ""serving_unit"": ""nos""}, {""id"": 93, ""name"": ""jeera powder"", ""quantity"": 10.0, ""serving_unit"": ""g""}, {""id"": 121, ""name"": ""onion"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 178, ""name"": ""tomato"", ""quantity"": 80.0, ""serving_unit"": ""g""}]","Pressure cook pre soak dry green peas for 3 whistle.
In a pan saute the other ingredients and make a thick gravy. Finally the cooked peas and garnish with chopped coriander",lunch,t,45.77,154.88,24.56,74.47,874.10,32.91,413.70,602.25,4263.85,3513.75,72.91
100,Buttermilk,1,"[{""id"": 4, ""name"": ""asafoetida"", ""quantity"": 0.5, ""serving_unit"": ""g""}, {""id"": 19, ""name"": ""black salt"", ""quantity"": 0.1, ""serving_unit"": ""g""}, {""id"": 82, ""name"": ""greek yogurt"", ""quantity"": 30.0, ""serving_unit"": ""g""}]","Grind yoghurt, water, salt and asafoetida in mixer. ",pre_breakfast,t,3.11,1.42,0.12,0.04,19.19,0.23,3.72,36.45,47.50,48.90,0.00
101,Mushroom rice,2,[],Cook,lunch,t,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
102,Kootu Rice,2,"[{""id"": 148, ""name"": ""rice"", ""quantity"": 60.0, ""serving_unit"": ""g""}]",Cook,lunch,t,1.62,16.92,0.18,0.24,78.00,0.72,7.20,6.00,21.00,0.60,0.00
103,egg fried rice,2,"[{""id"": 148, ""name"": ""rice"", ""quantity"": 200.0, ""serving_unit"": ""g""}, {""id"": 64, ""name"": ""egg"", ""quantity"": 2.0, ""serving_unit"": ""nos""}, {""id"": 237, ""name"": ""vegetable oil"", ""quantity"": 2.0, ""serving_unit"": ""tbsp""}, {""id"": 163, ""name"": ""soy sauce"", ""quantity"": 2.0, ""serving_unit"": ""tbsp""}, {""id"": 236, ""name"": ""green onions"", ""quantity"": 2.0, ""serving_unit"": ""nos""}]",1. Heat the vegetable oil in a pan over medium heat. 2. Add the cooked rice and stir-fry for a few minutes. 3. Push the rice to one side of the pan and crack the eggs into the other side. Scramble the eggs and mix with the rice. 4. Add the soy sauce and chopped green onions. Stir until well combined and heated through. 5. Serve hot.,lunch,f,18.20,57.44,12.22,0.87,423.38,4.26,38.56,78.10,222.22,254.18,0.38
104,chicken fried rice,2,"[{""id"": 43, ""name"": ""chicken"", ""quantity"": 200.0, ""serving_unit"": ""g""}, {""id"": 238, ""name"": ""fried rice"", ""quantity"": 300.0, ""serving_unit"": ""g""}, {""id"": 64, ""name"": ""egg"", ""quantity"": 2.0, ""serving_unit"": ""nos""}, {""id"": 163, ""name"": ""soy sauce"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 236, ""name"": ""green onions"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 237, ""name"": ""vegetable oil"", ""quantity"": 30.0, ""serving_unit"": ""g""}]","1. Heat vegetable oil in a large pan over medium heat.
2. Add chicken and cook until browned and cooked through. Remove and set aside.
3. In the same pan, scramble the eggs until fully cooked. Add the fried rice to the pan. 
4. Stir in the chicken, soy sauce, and chopped green onions. Cook for a few more minutes until everything is well combined and heated through.
5. Serve hot.",lunch,f,88.57,99.92,58.29,6.20,1285.70,6.98,170.00,168.50,1455.50,3944.50,9.50
105,English Quiche,4,"[{""id"": 240, ""name"": ""eggs"", ""quantity"": 4.0, ""serving_unit"": ""nos""}, {""id"": 110, ""name"": ""milk"", ""quantity"": 100.0, ""serving_unit"": ""ml""}, {""id"": 241, ""name"": ""double cream"", ""quantity"": 100.0, ""serving_unit"": ""ml""}, {""id"": 40, ""name"": ""cheddar cheese"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 239, ""name"": ""pastry"", ""quantity"": 1.0, ""serving_unit"": ""nos""}, {""id"": 158, ""name"": ""salt"", ""quantity"": 1.0, ""serving_unit"": ""tsp""}, {""id"": 18, ""name"": ""black pepper"", ""quantity"": 1.0, ""serving_unit"": ""g""}]","Preheat the oven to 180°C (350°F). Roll out the pastry and line a tart tin. In a bowl, beat together the eggs, milk, double cream, salt, and pepper. Add cheese and pour the mixture into the pastry. Bake for 25-30 minutes until set and golden. Allow to cool slightly before serving.",lunch,t,30.73,10.11,85.16,0.27,937.74,0.49,45.31,890.63,399.83,3004.80,0.21
106,Beef and Onion Pie,4,"[{""id"": 87, ""name"": ""ground beef"", ""quantity"": 500.0, ""serving_unit"": ""g""}, {""id"": 121, ""name"": ""onion"", ""quantity"": 2.0, ""serving_unit"": ""nos""}, {""id"": 239, ""name"": ""pastry"", ""quantity"": 1.0, ""serving_unit"": ""nos""}, {""id"": 242, ""name"": ""beef stock"", ""quantity"": 250.0, ""serving_unit"": ""ml""}, {""id"": 158, ""name"": ""salt"", ""quantity"": 1.0, ""serving_unit"": ""tsp""}, {""id"": 18, ""name"": ""black pepper"", ""quantity"": 1.0, ""serving_unit"": ""tsp""}]","Preheat oven to 200°C (400°F). In a pan, brown the ground beef and onions until cooked. Add beef stock, salt, and pepper; simmer for 10 minutes. Line a pie dish with pastry, fill with the beef mixture, and cover with another pastry layer. Bake for 25-30 minutes or until golden brown. Allow to cool slightly before serving.",dinner,f,87.45,2.02,100.67,0.31,1286.32,8.36,87.11,107.59,1512.71,3540.28,0.36
107,Pancake with Maple Syrup,4,"[{""id"": 205, ""name"": ""wheat flour"", ""quantity"": 150.0, ""serving_unit"": ""g""}, {""id"": 110, ""name"": ""milk"", ""quantity"": 300.0, ""serving_unit"": ""ml""}, {""id"": 240, ""name"": ""eggs"", ""quantity"": 2.0, ""serving_unit"": ""nos""}, {""id"": 27, ""name"": ""butter"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 227, ""name"": ""Baking Powder"", ""quantity"": 10.0, ""serving_unit"": ""g""}, {""id"": 158, ""name"": ""salt"", ""quantity"": 5.0, ""serving_unit"": ""g""}, {""id"": 226, ""name"": ""sugar"", ""quantity"": 25.0, ""serving_unit"": ""g""}, {""id"": 243, ""name"": ""maple syrup"", ""quantity"": 100.0, ""serving_unit"": ""ml""}]","1. In a large mixing bowl, combine the wheat flour, baking powder, sugar, and salt. 2. In another bowl, whisk together the milk, eggs, and melted butter. 3. Pour the wet ingredients into the dry ingredients and stir until just combined. 4. Heat a non-stick skillet over medium heat and pour 1/4 cup of the batter for each pancake. 5. Cook until bubbles form on the surface, then flip and cook until golden brown. 6. Serve warm with maple syrup drizzled on top.",breakfast,t,25.62,223.71,51.97,4.05,1452.41,6.79,84.20,444.75,771.02,12727.30,0.00
108,Grilled Cheese Sandwich,1,"[{""id"": 22, ""name"": ""bread"", ""quantity"": 2.0, ""serving_unit"": ""nos""}, {""id"": 244, ""name"": ""American cheese"", ""quantity"": 2.0, ""serving_unit"": ""nos""}, {""id"": 27, ""name"": ""butter"", ""quantity"": 10.0, ""serving_unit"": ""g""}]","1. Heat a skillet over medium heat. 2. Spread butter on one side of each slice of bread. 3. Place one slice of bread, butter side down, in the skillet. 4. Add the American cheese on top of the bread. 5. Place the second slice of bread on top, butter side up. 6. Grill until the bread is golden brown and the cheese is melted, about 3-4 minutes per side. 7. Remove from heat, slice in half, and serve warm.",lunch,t,5.67,28.15,10.63,1.60,232.44,1.85,14.72,91.22,109.82,359.20,0.00
109,Buffalo Wings,2,"[{""id"": 247, ""name"": ""chicken wings"", ""quantity"": 500.0, ""serving_unit"": ""g""}, {""id"": 248, ""name"": ""hot sauce"", ""quantity"": 100.0, ""serving_unit"": ""ml""}, {""id"": 246, ""name"": ""garlic powder"", ""quantity"": 5.0, ""serving_unit"": ""g""}, {""id"": 249, ""name"": ""celery sticks"", ""quantity"": 3.0, ""serving_unit"": ""nos""}, {""id"": 245, ""name"": ""blue cheese dressing"", ""quantity"": 50.0, ""serving_unit"": ""ml""}, {""id"": 27, ""name"": ""butter"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 197, ""name"": ""Apple cider vinegar"", ""quantity"": 10.0, ""serving_unit"": ""ml""}]","1. Preheat your oven to 200°C (400°F). 2. Mix hot sauce, melted butter, garlic powder, and apple cider vinegar in a bowl. 3. Toss the chicken wings in the sauce mix until coated. 4. Arrange the wings on a baking sheet and bake for about 40-45 minutes, flipping halfway through. 5. Serve hot with celery sticks and blue cheese dressing.",snack,f,92.54,8.25,131.55,0.77,1610.00,6.00,128.88,187.17,1319.27,3646.75,0.58
110,Breakfast Burrito,2,"[{""id"": 240, ""name"": ""eggs"", ""quantity"": 4.0, ""serving_unit"": ""nos""}, {""id"": 244, ""name"": ""American cheese"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 251, ""name"": ""tortillas"", ""quantity"": 2.0, ""serving_unit"": ""nos""}, {""id"": 17, ""name"": ""black beans"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 250, ""name"": ""sour cream"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 8, ""name"": ""avocado"", ""quantity"": 1.0, ""serving_unit"": ""nos""}, {""id"": 157, ""name"": ""salsa"", ""quantity"": 50.0, ""serving_unit"": ""ml""}, {""id"": 236, ""name"": ""green onions"", ""quantity"": 2.0, ""serving_unit"": ""nos""}]","1. Scramble the eggs in a pan until cooked through. 2. Warm the tortillas in another pan or microwave. 3. Spread a layer of sour cream on each tortilla. 4. Add the scrambled eggs, black beans, diced avocado, salsa, and shredded American cheese. 5. Optionally, sprinkle with chopped green onions. 6. Roll up the burritos, fold in the sides, and serve warm.",breakfast,f,29.16,33.96,27.15,9.57,491.96,5.08,103.47,688.06,2176.41,1386.99,4.98
111,Cobb Salad,2,"[{""id"": 90, ""name"": ""head romaine lettuce"", ""quantity"": 1.0, ""serving_unit"": ""nos""}, {""id"": 252, ""name"": ""grape tomatoes"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 254, ""name"": ""hard-boiled eggs"", ""quantity"": 2.0, ""serving_unit"": ""nos""}, {""id"": 245, ""name"": ""blue cheese dressing"", ""quantity"": 50.0, ""serving_unit"": ""ml""}, {""id"": 8, ""name"": ""avocado"", ""quantity"": 1.0, ""serving_unit"": ""nos""}, {""id"": 253, ""name"": ""bacon"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 17, ""name"": ""black beans"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 255, ""name"": ""red wine vinegar"", ""quantity"": 10.0, ""serving_unit"": ""ml""}, {""id"": 119, ""name"": ""olive oil"", ""quantity"": 20.0, ""serving_unit"": ""ml""}, {""id"": 27, ""name"": ""butter"", ""quantity"": 10.0, ""serving_unit"": ""g""}, {""id"": 196, ""name"": ""cooked chicken breast"", ""quantity"": 100.0, ""serving_unit"": ""g""}]","1. Wash and chop the romaine lettuce and place it in a bowl. 2. Halve the grape tomatoes and add them to the bowl. 3. Add diced cooked chicken breast, crumbled bacon, chopped hard-boiled eggs, diced avocado, and blue cheese dressing on top. 4. Drizzle with olive oil and red wine vinegar, then toss gently to combine. 5. Serve immediately.",lunch,f,13.27,27.12,309.61,8.99,2897.97,2.52,85.63,109.85,639.72,1136.45,0.14
112,Chocolate Chip Cookies,24,"[{""id"": 260, ""name"": ""all-purpose flour"", ""quantity"": 300.0, ""serving_unit"": ""g""}, {""id"": 259, ""name"": ""baking soda"", ""quantity"": 1.0, ""serving_unit"": ""tsp""}, {""id"": 158, ""name"": ""salt"", ""quantity"": 1.0, ""serving_unit"": ""tsp""}, {""id"": 258, ""name"": ""unsalted butter"", ""quantity"": 170.0, ""serving_unit"": ""g""}, {""id"": 257, ""name"": ""chocolate chips"", ""quantity"": 200.0, ""serving_unit"": ""g""}, {""id"": 256, ""name"": ""brown sugar"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 19, ""name"": ""black salt"", ""quantity"": 1.0, ""serving_unit"": ""tsp""}, {""id"": 240, ""name"": ""eggs"", ""quantity"": 2.0, ""serving_unit"": ""nos""}, {""id"": 16, ""name"": ""granulated sugar"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 18, ""name"": ""vanilla extract"", ""quantity"": 1.0, ""serving_unit"": ""tsp""}]","1. Preheat the oven to 350°F (175°C). 2. In a bowl, whisk together flour, baking soda, and salt. 3. In another bowl, cream together butter, granulated sugar, brown sugar, and vanilla extract. 4. Beat in eggs one at a time. 5. Gradually blend in the dry mix. 6. Stir in chocolate chips. 7. Drop spoonfuls onto a baking sheet. 8. Bake for 10-12 minutes or until golden brown. 9. Allow cooling before serving.",snack,t,0.25,0.01,0.20,0.00,2.86,0.02,0.20,1.00,2.52,2682.80,0.00
113,Mac and Cheese,4,"[{""id"": 261, ""name"": ""elbow macaroni"", ""quantity"": 200.0, ""serving_unit"": ""g""}, {""id"": 40, ""name"": ""cheddar cheese"", ""quantity"": 200.0, ""serving_unit"": ""g""}, {""id"": 110, ""name"": ""milk"", ""quantity"": 400.0, ""serving_unit"": ""ml""}, {""id"": 258, ""name"": ""unsalted butter"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 260, ""name"": ""all-purpose flour"", ""quantity"": 30.0, ""serving_unit"": ""g""}, {""id"": 158, ""name"": ""salt"", ""quantity"": 1.0, ""serving_unit"": ""tsp""}, {""id"": 19, ""name"": ""black pepper"", ""quantity"": 0.5, ""serving_unit"": ""tsp""}, {""id"": 262, ""name"": ""breadcrumbs"", ""quantity"": 50.0, ""serving_unit"": ""g""}]","1. Cook the elbow macaroni according to the package instructions. Drain and set aside. 2. In a saucepan, melt butter over medium heat. Stir in flour and cook for a minute. 3. Gradually whisk in milk and cook until the sauce thickens. 4. Add in cheddar cheese, salt, and pepper. Stir until smooth. 5. Combine the cheese sauce with the macaroni and mix well. 6. Pour into a baking dish and top with breadcrumbs. 7. Bake at 350°F (175°C) for 20-25 minutes until golden brown. 8. Serve warm.",dinner,t,68.95,58.62,81.72,1.63,1248.76,2.97,109.36,1967.72,828.65,4026.60,0.11
114,Avocado Toast,2,"[{""id"": 8, ""name"": ""avocado"", ""quantity"": 1.0, ""serving_unit"": ""nos""}, {""id"": 22, ""name"": ""bread"", ""quantity"": 2.0, ""serving_unit"": ""nos""}, {""id"": 158, ""name"": ""salt"", ""quantity"": 0.5, ""serving_unit"": ""tsp""}, {""id"": 19, ""name"": ""black pepper"", ""quantity"": 0.5, ""serving_unit"": ""tsp""}, {""id"": 119, ""name"": ""olive oil"", ""quantity"": 1.0, ""serving_unit"": ""tbsp""}, {""id"": 101, ""name"": ""lemon juice"", ""quantity"": 1.0, ""serving_unit"": ""tbsp""}]","1. Toast the slices of bread until golden brown. 2. In a bowl, mash the avocado with lemon juice, salt, and pepper. 3. Spread the mashed avocado evenly on each slice of toast. 4. Drizzle with olive oil. 5. Serve immediately.",breakfast,t,5.28,28.48,15.67,1.80,276.08,1.86,15.21,78.40,86.53,1424.18,0.59
115,meat pie,4,"[{""id"": 87, ""name"": ""ground beef"", ""quantity"": 500.0, ""serving_unit"": ""g""}, {""id"": 121, ""name"": ""onion"", ""quantity"": 1.0, ""serving_unit"": ""nos""}, {""id"": 75, ""name"": ""garlic"", ""quantity"": 2.0, ""serving_unit"": ""tsp""}, {""id"": 242, ""name"": ""beef stock"", ""quantity"": 1.0, ""serving_unit"": ""cup""}, {""id"": 263, ""name"": ""puff pastry"", ""quantity"": 1.0, ""serving_unit"": ""nos""}, {""id"": 158, ""name"": ""salt"", ""quantity"": 1.0, ""serving_unit"": ""tsp""}, {""id"": 18, ""name"": ""black pepper"", ""quantity"": 0.5, ""serving_unit"": ""tsp""}, {""id"": 64, ""name"": ""egg"", ""quantity"": 1.0, ""serving_unit"": ""nos""}]","Preheat your oven to 200°C (390°F). In a large pan, cook 500g of ground beef with chopped onion (1) and minced garlic (2 tsp) until browned. Add 1 cup of beef stock, and season with 1 tsp salt and 0.5 tsp black pepper. Simmer for about 10 minutes. Roll out puff pastry, line a pie dish, and fill it with the beef mixture. Cover with another pastry layer, seal the edges, and make a slit on top. Beat 1 egg and brush over the surface. Bake for 30-35 minutes until golden brown.",lunch,f,92.50,1.48,104.83,0.19,1346.67,8.99,87.48,124.12,1455.63,2734.98,0.80
116,Lamingtons,12,"[{""id"": 265, ""name"": ""desiccated coconut"", ""quantity"": 200.0, ""serving_unit"": ""g""}, {""id"": 264, ""name"": ""unsweetened cocoa powder"", ""quantity"": 80.0, ""serving_unit"": ""g""}, {""id"": 240, ""name"": ""eggs"", ""quantity"": 2.0, ""serving_unit"": ""nos""}, {""id"": 27, ""name"": ""butter"", ""quantity"": 125.0, ""serving_unit"": ""g""}, {""id"": 188, ""name"": ""water"", ""quantity"": 50.0, ""serving_unit"": ""ml""}, {""id"": 110, ""name"": ""milk"", ""quantity"": 80.0, ""serving_unit"": ""ml""}, {""id"": 226, ""name"": ""sugar"", ""quantity"": 200.0, ""serving_unit"": ""g""}, {""id"": 256, ""name"": ""brown sugar"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 264, ""name"": ""self-raising flour"", ""quantity"": 125.0, ""serving_unit"": ""g""}]","1. Preheat the oven to 180°C (355°F). Grease and line a rectangular cake tin. 
2. In a bowl, beat together the butter and sugar until light and fluffy. Add the eggs one at a time, mixing well after each addition. 
3. Sift in the self-raising flour and cocoa powder, then gently fold in the milk and water until combined. 
4. Pour the batter into the prepared tin and smooth the surface. Bake for 25 minutes or until a toothpick comes out clean. 
5. Allow the cake to cool completely before cutting into squares. 
6. Dip each square in melted chocolate, then roll in desiccated coconut to coat. 
7. Allow to set before serving.",snack,t,3.83,203.93,104.19,0.00,1721.91,0.07,10.70,123.40,138.12,840.95,0.00
117,Grilled Barramundi,2,"[{""id"": 266, ""name"": ""Barramundi"", ""quantity"": 500.0, ""serving_unit"": ""g""}, {""id"": 119, ""name"": ""olive oil"", ""quantity"": 2.0, ""serving_unit"": ""tbsp""}, {""id"": 75, ""name"": ""garlic"", ""quantity"": 2.0, ""serving_unit"": ""nos""}, {""id"": 100, ""name"": ""lemon"", ""quantity"": 1.0, ""serving_unit"": ""nos""}, {""id"": 158, ""name"": ""salt"", ""quantity"": 1.0, ""serving_unit"": ""tsp""}, {""id"": 18, ""name"": ""black pepper"", ""quantity"": 0.5, ""serving_unit"": ""tsp""}]","1. Preheat the grill on medium-high heat.
2. Brush the Barramundi fillets with olive oil and season with salt and black pepper.
3. Place the fillets on the grill, skin-side down, and cook for about 4-5 minutes.
4. Flip the fillets carefully and cook for another 4-5 minutes, or until the fish flakes easily with a fork.
5. In the last minute of grilling, add wood chips for smoke flavor (if desired).
6. Remove the fish from the grill and let it rest for a few minutes.
7. Serve with lemon wedges and enjoy!",dinner,f,100.19,1.08,49.53,0.20,742.53,2.09,151.44,56.10,1516.05,2537.96,1.26
118,Vegemite on Toast,1,"[{""id"": 267, ""name"": ""Vegemite"", ""quantity"": 10.0, ""serving_unit"": ""g""}, {""id"": 22, ""name"": ""bread"", ""quantity"": 2.0, ""serving_unit"": ""nos""}]","1. Toast the slices of bread until golden brown. 
2. Spread a thin layer of Vegemite on the toast. 
3. Serve immediately and enjoy your Vegemite on toast!",breakfast,t,7.80,29.30,2.05,1.62,161.10,7.30,26.00,88.00,114.00,1024.00,0.00
119,Kangaroo Steak,2,"[{""id"": 270, ""name"": ""Kangaroo Steak"", ""quantity"": 200.0, ""serving_unit"": ""g""}]","1. Preheat your grill to high heat. 2. Season the kangaroo steak with salt and pepper. 3. Place the steak on the grill for about 4-5 minutes per side, depending on thickness. 4. Remove from the grill and let rest for a few minutes. 5. Slice and serve with your choice of sides.",dinner,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,Scones with Clotted Cream,4,"[{""id"": 273, ""name"": ""Scones"", ""quantity"": 1.0, ""serving_unit"": ""nos""}, {""id"": 274, ""name"": ""Clotted Cream"", ""quantity"": 250.0, ""serving_unit"": ""g""}, {""id"": 268, ""name"": ""plain flour"", ""quantity"": 225.0, ""serving_unit"": ""g""}, {""id"": 227, ""name"": ""Baking Powder"", ""quantity"": 15.0, ""serving_unit"": ""g""}, {""id"": 226, ""name"": ""sugar"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 158, ""name"": ""salt"", ""quantity"": 2.0, ""serving_unit"": ""g""}, {""id"": 27, ""name"": ""butter"", ""quantity"": 50.0, ""serving_unit"": ""g""}]","1. Preheat your oven to 220°C (425°F). 2. In a bowl, mix the flour, baking powder, sugar, and salt. 3. Cut in the butter until the mixture resembles coarse crumbs. 4. Add milk or cream gradually to form a soft dough. 5. Turn onto a floured surface and knead gently. 6. Roll out to about 2 cm thick and cut into rounds. 7. Place on a baking sheet and bake for 10-12 minutes until golden. 8. Serve warm with clotted cream.",snack,t,0.48,54.63,40.71,0.02,563.45,0.02,1.20,13.30,13.50,6080.00,0.00
